season,Name,Position,Team,Games,Age,Salary,AAV,Goals,Assists,Points,Goals/60,Assists/60,Points/60,Penalty_Diff,CF%,PDO,PSh%,ZSO%Rel,TOI/Gm
20132014,Francois.Beauchemin,D,ANA,83,33,3.5,3.5,3,10,13,0.13,0.43,0.56,-4,48.04,101.71,4.05,-1.14,16.79
20142015,Francois.Beauchemin,D,ANA,80,34,3.5,3.5,9,12,21,0.37,0.5,0.87,-10,51.61,102.27,9.57,-3.74,18.16
20132014,Nathan.Beaulieu,D,MTL,24,20,0.925,0.925,0,3,3,0,0.68,0.68,-1,47.3,108.92,0,10.67,11.06
20142015,Nathan.Beaulieu,D,MTL,69,21,0.925,0.925,1,7,8,0.06,0.43,0.49,-2,49.01,100.99,1.89,4.8,14.12
20132014,Taylor.Beck,RL,NSH,7,22,0.6,0.66,0,0,0,0,0,0,-3,55.46,91.3,0,23.07,11.1
20142015,Taylor.Beck,RL,NSH,67,23,0.55,0.55,6,8,14,0.51,0.67,1.18,4,46.04,100.35,7.59,-28.49,10.64
20132014,Matt.Beleskey,L,ANA,60,25,1.3,1.35,10,11,21,0.93,1.02,1.94,-7,49.4,102.47,9.01,4.33,10.8
20142015,Matt.Beleskey,L,ANA,81,26,1.4,1.35,23,11,34,1.33,0.64,1.97,4,53.46,102.62,13.94,0.94,12.81
20132014,Brett.Bellemore,D,CAR,64,25,0.6,0.6,2,6,8,0.12,0.37,0.49,-3,48.4,99.56,3.77,-8.9,15.23
20142015,Brett.Bellemore,D,CAR,49,26,0.6,0.6,2,7,9,0.16,0.57,0.73,-5,47.99,100.37,8.33,-8.72,15.05
20142015,Pierre-Edouard.Bellemare,CL,PHI,81,29,0.6,0.6,6,5,11,0.43,0.36,0.78,4,46.36,99.8,5.83,-2.33,10.42
20132014,Anton.Belov,D,EDM,57,27,0.925,0.925,1,4,5,0.07,0.3,0.37,-4,46.28,98.72,2.86,3.87,14.07
20132014,Beau.Bennett,LR,PIT,33,21,0.9,0.9,3,7,10,0.45,1.05,1.5,2,55.9,96.93,8.11,5.44,12.16
20142015,Beau.Bennett,LR,PIT,51,22,0.9,0.9,4,8,12,0.42,0.84,1.26,-2,53.58,98.42,5.41,-6.99,11.2
20142015,Sam.Bennett,C,CGY,12,18,0.925,0.925,3,2,5,1.24,0.83,2.06,1,46.97,95.2,16.67,1.64,12.12
20132014,Jamie.Benn,L,DAL,87,24,5,5.25,27,29,56,1.39,1.5,2.89,8,52.37,103.53,13.17,7.64,13.37
20142015,Jamie.Benn,L,DAL,82,25,5.25,5.25,21,32,53,1.1,1.68,2.79,8,54.52,101.15,12.21,4.46,13.92
20132014,Jordie.Benn,D,DAL,84,26,0.6,0.7,1,16,17,0.04,0.71,0.76,-8,50.66,101.41,1.25,-2.33,16
20142015,Jordie.Benn,D,DAL,73,27,0.65,0.7,2,12,14,0.11,0.65,0.76,-13,54.43,97.66,3.03,-1.82,15.09
20132014,Andre.Benoit,D,COL,86,29,0.9,0.9,5,9,14,0.23,0.41,0.64,-1,46.32,101.41,6.76,-0.92,15.21
20142015,Andre.Benoit,D,BUF,59,30,0.8,0.8,0,7,7,0,0.47,0.47,-8,37.13,100.39,0,2.99,15.04
20132014,Patrice.Bergeron,C,BOS,92,28,4.55,5,21,23,44,1.03,1.12,2.15,4,61.13,101.78,10.45,-12.21,13.34
20142015,Patrice.Bergeron,C,BOS,81,29,8.75,6.875,16,18,34,0.91,1.02,1.93,-5,58.16,96.73,9.2,-10.61,13.07
20132014,Sean.Bergenheim,L,FLA,62,29,2.75,2.75,12,11,23,0.88,0.81,1.69,3,55.06,95.54,7.89,-1.37,13.16
20142015,Sean.Bergenheim,L,FLA/MIN,59,30,2.75,2.75,9,8,17,0.75,0.67,1.42,1,53.27,98.16,8.65,-4.18,12.2
20132014,Patrik.Berglund,C,STL,82,25,3.25,3.25,11,14,25,0.65,0.82,1.47,-6,54.69,101.35,8.8,3.88,12.42
20142015,Patrik.Berglund,C,STL,83,26,3.7,3.7,13,15,28,0.75,0.87,1.62,-6,54.76,99.31,9.09,-4.88,12.5
20132014,Steve.Bernier,R,N.J,78,28,0.775,0.775,2,8,10,0.13,0.53,0.67,3,53.03,95.05,2.15,-4.6,11.54
20142015,Steve.Bernier,R,N.J,67,29,0.6,0.6,10,12,22,0.78,0.94,1.73,10,47.54,102.98,11.9,6.12,11.41
20132014,Todd.Bertuzzi,RL,DET,60,38,2.175,2.075,3,6,9,0.27,0.54,0.8,-11,49.07,97.09,4.69,-0.15,11.21
20132014,Bryan.Bickell,L,CHI,78,27,3,4,14,7,21,0.92,0.46,1.38,-5,57.06,97.02,10.94,19.94,11.73
20142015,Bryan.Bickell,L,CHI,98,28,4,4,10,16,26,0.52,0.84,1.36,-3,52.4,101.06,8.06,22.39,11.69
20142015,Stu.Bickel,RD,MIN,9,27,0.6,0.6,0,1,1,0,1.18,1.18,-1,36.71,105.26,0,-1.34,5.64
20142015,Alex.Biega,D,VAN,7,26,0.6,0.6,1,0,1,0.55,0,0.55,0,42.77,97.48,16.67,4.4,15.45
20142015,Danny.Biega,D,CAR,10,22,0.755,0.755,0,2,2,0,0.75,0.75,2,57.46,93.63,0,7,15.99
20132014,Kevin.Bieksa,D,VAN,76,32,5,4.6,2,12,14,0.09,0.53,0.62,-3,51.46,98.9,1.5,0.99,17.75
20142015,Kevin.Bieksa,D,VAN,66,33,4,4.6,4,7,11,0.22,0.38,0.6,-13,48.54,99.15,4.44,1.15,16.6
20132014,Chad.Billins,D,CGY,10,24,0.925,0.925,0,3,3,0,1.66,1.66,0,44.39,98.08,0,31.5,10.84
